Date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
08:00:00 02-10-2023,3,1255.04,23.92,19.36,0.33,35.76,34.55,41.3,7.92
09:00:00 02-10-2023,3,1268.39,23.92,21.42,0.93,36.24,34.43,41.53,7.35
10:00:00 02-10-2023,3,1108.17,17.43,24.68,2.53,32.9,28.62,34.56,6.21
11:00:00 02-10-2023,2,674.25,4.3,20.39,14.13,19.07,13.88,16.85,3.61
12:00:00 02-10-2023,2,560.76,3.35,19.02,26.46,20.27,11.0,13.65,3.48
13:00:00 02-10-2023,2,560.76,3.63,21.25,33.62,24.08,11.74,14.6,3.86
14:00:00 02-10-2023,2,594.14,2.21,27.42,28.25,27.42,13.02,16.31,4.43
15:00:00 02-10-2023,2,647.54,2.43,33.93,16.63,32.42,15.34,19.0,5.0
16:00:00 02-10-2023,2,700.95,3.27,37.7,8.4,34.81,17.13,20.71,5.13
17:00:00 02-10-2023,2,867.84,9.72,39.76,1.7,41.01,21.7,25.95,5.89
18:00:00 02-10-2023,3,1188.28,24.36,38.04,0.03,51.5,31.57,37.8,7.73
19:00:00 02-10-2023,3,1548.77,38.44,38.73,0.0,63.9,46.91,56.34,11.02
20:00:00 02-10-2023,4,2162.93,60.8,43.53,0.0,85.83,73.45,87.77,14.82
21:00:00 02-10-2023,5,2429.96,76.0,45.93,0.0,100.14,92.61,108.68,15.58
22:00:00 02-10-2023,5,2376.56,76.89,43.87,0.0,97.27,97.81,113.18,14.82
23:00:00 02-10-2023,5,2002.72,60.8,38.39,0.0,78.2,82.49,94.84,12.03
00:00:00 03-10-2023,4,1562.12,40.68,33.93,0.0,56.74,60.77,69.03,8.49
01:00:00 03-10-2023,3,1308.44,25.26,31.87,0.0,41.96,47.75,52.93,6.4
02:00:00 03-10-2023,3,1174.93,13.97,29.47,0.06,30.52,40.59,43.97,5.19
03:00:00 03-10-2023,3,1174.93,10.17,28.79,0.13,27.18,39.75,42.69,5.07
04:00:00 03-10-2023,3,1188.28,10.39,28.45,0.11,28.37,40.74,43.8,5.38
05:00:00 03-10-2023,3,1228.33,14.53,28.45,0.03,32.9,42.33,45.8,5.83
06:00:00 03-10-2023,3,1281.74,22.13,28.1,0.0,40.05,45.12,49.37,6.71
07:00:00 03-10-2023,4,1508.71,33.53,27.76,0.01,51.02,54.03,60.56,9.12
08:00:00 03-10-2023,4,1895.9,51.86,30.5,0.76,69.62,68.59,78.14,11.91
09:00:00 03-10-2023,4,1949.31,52.75,37.36,4.38,75.34,72.6,83.09,11.78
10:00:00 03-10-2023,4,1668.93,33.08,43.87,17.17,63.9,63.58,72.44,10.26
11:00:00 03-10-2023,3,1068.12,9.95,29.82,42.2,34.81,37.11,41.57,6.33
12:00:00 03-10-2023,3,841.14,5.09,27.42,49.35,31.47,29.79,33.38,5.83
13:00:00 03-10-2023,3,794.41,3.05,33.24,47.21,35.76,29.87,33.53,6.33
14:00:00 03-10-2023,3,774.38,3.46,34.62,50.78,38.15,31.96,35.79,6.78
15:00:00 03-10-2023,3,747.68,3.44,34.62,53.64,37.67,32.54,36.78,7.35
16:00:00 03-10-2023,3,727.65,2.65,31.19,52.21,32.42,29.65,34.24,7.22
17:00:00 03-10-2023,3,867.84,1.2,36.33,51.5,33.38,40.19,45.87,7.54
18:00:00 03-10-2023,4,1028.06,0.05,39.07,48.64,33.38,52.28,58.54,7.28
19:00:00 03-10-2023,3,1054.76,0.01,37.7,35.76,30.28,48.75,55.01,6.52
20:00:00 03-10-2023,3,1081.47,0.78,40.1,12.87,30.04,40.96,47.75,6.46
21:00:00 03-10-2023,3,1068.12,4.64,36.33,1.83,29.33,36.43,43.86,6.65
22:00:00 03-10-2023,3,1054.76,9.5,30.5,0.22,28.37,35.05,42.89,6.97
23:00:00 03-10-2023,3,1014.71,11.73,26.39,0.07,26.46,32.52,39.83,6.78
00:00:00 04-10-2023,3,921.25,12.29,23.99,0.04,24.56,28.05,34.68,6.14
01:00:00 04-10-2023,3,847.82,12.29,22.62,0.04,24.32,25.47,31.93,6.08
