aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,1698771600,3952.03,71.53,33.93,0.0,35.76,152.64,181.29,17.48
5,1698775200,2937.32,53.2,28.1,0.0,28.85,105.55,122.56,12.79
4,1698778800,2029.42,33.53,23.65,0.0,22.89,68.14,78.16,10.39
4,1698782400,1588.82,25.03,20.73,0.0,20.98,52.75,61.02,9.75
3,1698786000,1361.85,22.8,18.85,0.0,21.93,45.97,54.01,9.37
3,1698789600,1201.63,23.69,17.65,0.0,25.03,41.93,50.44,8.99
3,1698793200,1148.22,26.15,16.79,0.0,29.33,40.48,50.15,9.37
3,1698796800,1348.5,32.63,17.65,1.35,38.62,46.72,60.23,12.03
4,1698800400,1695.63,46.49,27.76,6.79,61.99,56.47,73.01,14.31
5,1698804000,2082.82,52.3,56.21,19.49,92.51,76.61,96.17,16.97
5,1698807600,2349.85,42.02,105.56,53.64,135.42,120.87,142.77,17.99
5,1698811200,1321.79,12.41,68.55,117.3,88.69,77.04,87.99,9.75
5,1698814800,1108.17,6.26,53.47,155.93,78.2,82.08,90.58,7.98
5,1698818400,1108.17,4.25,50.04,180.24,77.25,93.73,102.36,7.66
5,1698822000,1388.55,5.09,72.66,158.79,98.23,110.13,120.97,9.88
5,1698825600,1976.01,7.38,116.53,92.98,133.51,130.87,144.85,12.92
5,1698829200,2483.37,11.73,143.95,23.25,143.05,119.17,134.78,13.81
5,1698832800,3257.75,37.1,126.12,0.22,116.35,109.18,128.74,14.57
5,1698836400,4112.24,66.16,113.79,0.0,100.14,131.02,155.7,15.33
5,1698840000,4379.27,69.74,116.53,0.0,85.83,168.9,198.25,15.07
5,1698843600,4539.49,61.69,117.9,0.0,77.25,217.9,253.3,23.56
5,1698847200,5126.95,67.95,113.79,0.0,90.6,273.58,316.89,42.56
5,1698850800,5767.82,80.47,116.53,0.0,112.53,333.29,381.72,63.84
5,1698854400,6034.85,87.62,117.9,0.0,123.98,365.75,413.72,77.01
5,1698858000,4753.11,67.95,98.71,0.0,93.46,307.05,342.91,58.26
5,1698861600,3017.43,33.08,68.55,0.0,51.02,209.82,229.62,29.13
5,1698865200,1642.23,4.19,44.55,3.93,24.08,115.93,124.44,9.37
5,1698868800,1201.63,0.15,31.53,17.88,19.07,77.71,83.84,7.03
4,1698872400,1041.41,0.09,29.47,20.74,19.55,58.49,64.04,6.97
3,1698876000,961.3,0.57,31.53,11.62,21.93,46.08,51.75,7.16
3,1698879600,934.6,3.07,30.16,3.08,23.84,37.22,43.41,7.79
3,1698883200,1041.41,10.39,25.02,1.14,27.66,36.39,44.91,9.75
3,1698886800,1255.04,21.01,25.7,1.86,38.15,38.28,49.24,11.4
3,1698890400,1375.2,29.06,29.47,1.92,49.59,39.92,52.62,12.54
