timestamp,Temprature (Kelvin),Feels like (Kelvin),Pressure (mb),Humidity (%),Min Temprature (Kelvin),Max Temprature (Kelvin),Wind speed (m/s),Wind degree,Wind gust (m/s),Clouds all (%),Rain 1h (mm),Weather details,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1701388800,301.16,306.75,1011,89,301.16,301.16,0.51,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,5661.01,128.75,42.5,0,56.74,246.02,294.09,29.64
1701392400,301.16,306.75,1011,89,301.16,301.16,0.51,300,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,4699.71,109.08,34.62,0,42.44,199.75,233.37,22.29
1701396000,301.16,306.75,1010,89,301.16,301.16,0.51,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,3791.81,84.94,26.73,0,29.8,157.48,177.82,17.23
1701399600,300.16,304.35,1009,94,300.16,300.16,0.51,330,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,3017.43,61.69,20.91,0,22.41,121.27,132.87,13.05
1701403200,299.16,299.16,1009,94,299.16,299.16,0.51,290,0,40,0,"id: 701, main: Mist, description: mist, icon: 50n",5,2456.67,46.04,17.82,0,19.55,96.76,104.39,10.26
1701406800,299.16,299.16,1009,100,299.16,299.16,0.51,330,0,40,0,"id: 701, main: Mist, description: mist, icon: 50n",4,1588.82,24.59,20.05,0,19.55,58.44,63.65,7.6
1701410400,299.16,299.16,1010,100,299.16,299.16,2.06,340,0,40,0,"id: 701, main: Mist, description: mist, icon: 50d",3,1241.68,17.43,20.56,0.01,21.46,43.58,49.6,7.6
1701414000,299.16,299.16,1010,100,299.16,299.16,1.03,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d",3,1268.39,19.45,20.56,0.51,25.99,42.74,51.66,9.63
1701417600,301.16,307.65,1011,94,301.16,301.16,1.03,330,0,100,0,"id: 804, main: Clouds, description: overcast clouds, icon: 04d",3,1482.01,28.61,22.62,1.63,35.29,44.84,56.52,10.64
1701421200,302.16,309.16,1012,89,302.16,302.16,1.03,0,0,100,0,"id: 804, main: Clouds, description: overcast clouds, icon: 04d",3,1628.88,35.76,27.08,1.81,44.35,45.33,59.1,11.65
1701424800,304.16,311.16,1012,74,304.16,304.16,1.03,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d",3,1535.42,37.1,31.87,1.41,53.41,41.7,55.7,12.54
1701428400,305.16,312.16,1011,70,305.16,305.16,1.03,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d",2,660.9,6.03,30.16,15.91,29.8,14.07,19.56,5.7
1701432000,306.16,311.99,1010,58,306.16,306.16,1.54,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d",2,567.44,3.41,28.45,24.32,29.56,10.78,15,5.07
1701435600,305.16,308.81,1009,55,305.16,305.16,3.09,70,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04d",2,554.08,3.24,26.73,30.04,29.33,10.02,13.95,4.88
1701439200,307.16,311.23,1008,49,307.16,307.16,4.63,70,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d",2,520.71,2.18,26.39,31.11,28.37,8.56,12.2,4.69
1701442800,308.16,311.33,1008,43,308.16,308.16,3.6,70,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d",2,534.06,1.56,31.19,25.03,32.9,8.5,12.16,5
1701446400,307.16,309.4,1007,43,307.16,307.16,2.06,40,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d",2,587.46,0.86,37.01,18.42,37.67,9.28,13.45,5.64
1701450000,305.16,312.16,1008,66,305.16,305.16,3.6,170,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d",3,1455.31,15.42,55.52,2.21,55.79,26.66,37.64,14.06
1701453600,303.16,309.22,1008,74,303.16,303.16,2.57,180,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01n",4,2670.29,47.83,59.63,0.02,69.62,56.9,78.13,24.57
1701457200,303.16,309.22,1009,74,303.16,303.16,2.57,160,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",4,2937.32,55.43,54.15,0,61.04,74.35,102.83,27.11
1701460800,303.16,309.22,1010,74,303.16,303.16,4.12,130,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,3150.94,55.88,46.61,0,52.45,97.88,134.45,25.08
1701464400,302.16,307.7,1010,79,302.16,302.16,3.09,120,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01n",5,3738.4,66.16,41.47,0,52.93,134.97,181.23,25.08
1701468000,302.16,306.67,1011,74,302.16,302.16,4.63,110,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n",5,4165.65,75.1,38.04,0,54.36,167.61,222.2,26.09
1701471600,301.16,304.97,1011,78,301.16,301.16,3.09,90,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n",5,4325.87,80.47,35.3,0,51.5,179.64,236.35,25.33
1701475200,300.16,303.2,1010,83,300.16,300.16,2.06,90,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,4219.06,85.83,32.9,0,45.3,175.79,228.33,19.76
1701478800,300.16,303.2,1010,83,300.16,300.16,2.06,60,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,4005.43,85.83,30.5,0,35.76,170.5,217.24,15.45
1701482400,300.16,303.2,1010,83,300.16,300.16,1.03,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,3231.05,67.06,26.73,0,23.84,141.53,177.63,13.05
1701486000,300.16,303.81,1009,89,300.16,300.16,1.54,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,2590.18,47.83,24.68,0,18.84,112.45,139.65,12.29
1701489600,299.16,299.16,1009,94,299.16,299.16,2.06,20,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n",5,2243.04,38,24.33,0,18.12,95.93,117.38,12.03
1701493200,299.16,299.16,1010,89,299.16,299.16,1.54,40,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01n",5,2056.12,33.08,24.33,0,19.55,85.48,103.58,11.78
1701496800,299.16,299.16,1010,89,299.16,299.16,0.51,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d",5,1949.31,31.29,23.65,0,22.41,77.15,95.45,12.16
1701500400,299.16,299.16,1010,89,299.16,299.16,2.06,50,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d",5,2082.82,36.66,22.62,0.37,29.33,78.65,99.26,14.95
1701504000,300.16,303.2,1011,83,300.16,300.16,2.06,60,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01d",5,2563.48,55.88,24.33,0.94,46.25,90.99,115.09,18.24
1701507600,302.16,306.67,1012,74,302.16,302.16,0.51,0,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01d",5,3044.13,78.68,30.16,1.97,66.76,105.89,133.03,21.03
