,timestamp,Temprature (Kelvin),Feels like (Kelvin),Pressure (mb),Humidity (%),Temperature Amplitude,Wind speed (m/s),Wind degree,Wind gust (m/s),Clouds all (%),Rain 1h (mm),Weather Description,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,1701388800,301.16,306.75,1011.0,89.0,0.0,0.51,0.0,0.0,40.0,0.0,scattered clouds,5.0,921.25,128.75,42.5,0.0,56.74,246.02,294.09,29.64
1,1701392400,301.16,306.75,1011.0,89.0,0.0,0.51,300.0,0.0,40.0,0.0,scattered clouds,5.0,4699.71,109.08,34.62,0.0,42.44,199.75,233.37,22.29
2,1701396000,301.16,306.75,1010.0,89.0,0.0,0.51,0.0,0.0,40.0,0.0,scattered clouds,5.0,3791.81,84.94,26.73,0.0,29.8,157.48,177.82,17.23
3,1701399600,300.16,304.35,1009.0,94.0,0.0,0.51,330.0,0.0,40.0,0.0,scattered clouds,5.0,3017.43,61.69,20.91,0.0,22.41,121.27,132.87,13.05
4,1701403200,299.16,299.16,1009.0,94.0,0.0,0.51,290.0,0.0,40.0,0.0,mist,5.0,2456.67,46.04,17.82,0.0,19.55,96.76,104.39,10.26
5,1701406800,299.16,299.16,1009.0,100.0,0.0,0.51,330.0,0.0,40.0,0.0,mist,4.0,1588.82,24.59,20.05,0.0,19.55,58.44,63.65,7.6
6,1701410400,299.16,299.16,1010.0,100.0,0.0,2.06,340.0,0.0,40.0,0.0,mist,3.0,1241.68,17.43,20.56,0.01,21.46,43.58,49.6,7.6
7,1701414000,299.16,299.16,1010.0,100.0,0.0,1.03,0.0,0.0,40.0,0.0,scattered clouds,3.0,1268.39,19.45,20.56,0.51,25.99,42.74,51.66,9.63
8,1701417600,301.16,307.65,1011.0,94.0,0.0,1.03,330.0,0.0,100.0,0.0,overcast clouds,3.0,1482.01,28.61,22.62,1.63,35.29,44.84,56.52,10.64
9,1701421200,302.16,309.16,1012.0,89.0,0.0,1.03,0.0,0.0,100.0,0.0,overcast clouds,3.0,1628.88,35.76,27.08,1.81,44.35,45.33,59.1,11.65
10,1701424800,304.16,311.16,1012.0,74.0,0.0,1.03,0.0,0.0,20.0,0.0,few clouds,3.0,1535.42,37.1,31.87,1.41,53.41,41.7,55.7,12.54
11,1701428400,305.16,312.16,1011.0,70.0,0.0,1.03,0.0,0.0,40.0,0.0,scattered clouds,2.0,660.9,6.03,30.16,15.91,29.8,14.07,19.56,5.7
12,1701432000,306.16,311.99,1010.0,58.0,0.0,1.54,0.0,0.0,40.0,0.0,scattered clouds,2.0,567.44,3.41,28.45,24.32,29.56,10.78,15.0,5.07
13,1701435600,305.16,308.81,1009.0,55.0,0.0,3.09,70.0,0.0,75.0,0.0,broken clouds,2.0,554.08,3.24,26.73,30.04,29.33,10.02,13.95,4.88
14,1701439200,307.16,311.23,1008.0,49.0,0.0,4.63,70.0,0.0,40.0,0.0,scattered clouds,2.0,520.71,2.18,26.39,31.11,28.37,8.56,12.2,4.69
15,1701442800,308.16,311.33,1008.0,43.0,0.0,3.6,70.0,0.0,20.0,0.0,few clouds,2.0,534.06,1.56,31.19,25.03,32.9,8.5,12.16,5.0
16,1701446400,307.16,309.4,1007.0,43.0,0.0,2.06,40.0,0.0,20.0,0.0,few clouds,2.0,587.46,0.86,37.01,18.42,37.67,9.28,13.45,5.64
17,1701450000,305.16,312.16,1008.0,66.0,0.0,3.6,170.0,0.0,20.0,0.0,few clouds,3.0,1455.31,15.42,55.52,2.21,55.79,26.66,37.64,14.06
18,1701453600,303.16,309.22,1008.0,74.0,0.0,2.57,180.0,0.0,0.0,0.0,clear sky,4.0,2670.29,47.83,59.63,0.02,69.62,56.9,78.13,24.57
19,1701457200,303.16,309.22,1009.0,74.0,0.0,2.57,160.0,0.0,40.0,0.0,scattered clouds,4.0,2937.32,55.43,54.15,0.0,61.04,74.35,102.83,27.11
20,1701460800,303.16,309.22,1010.0,74.0,0.0,4.12,130.0,0.0,40.0,0.0,scattered clouds,5.0,3150.94,55.88,46.61,0.0,52.45,97.88,134.45,25.08
21,1701464400,302.16,307.7,1010.0,79.0,0.0,3.09,120.0,0.0,0.0,0.0,clear sky,5.0,3738.4,66.16,41.47,0.0,52.93,134.97,181.23,25.08
22,1701468000,302.16,306.67,1011.0,74.0,0.0,4.63,110.0,0.0,20.0,0.0,few clouds,5.0,4165.65,75.1,38.04,0.0,54.36,167.61,222.2,26.09
23,1701471600,301.16,304.97,1011.0,78.0,0.0,3.09,90.0,0.0,20.0,0.0,few clouds,5.0,4325.87,80.47,35.3,0.0,51.5,179.64,236.35,25.33
24,1701475200,300.16,303.2,1010.0,83.0,0.0,2.06,90.0,0.0,40.0,0.0,scattered clouds,5.0,4219.06,85.83,32.9,0.0,45.3,175.79,228.33,19.76
25,1701478800,300.16,303.2,1010.0,83.0,0.0,2.06,60.0,0.0,40.0,0.0,scattered clouds,5.0,4005.43,85.83,30.5,0.0,35.76,170.5,217.24,15.45
26,1701482400,300.16,303.2,1010.0,83.0,0.0,1.03,0.0,0.0,40.0,0.0,scattered clouds,5.0,3231.05,67.06,26.73,0.0,23.84,141.53,177.63,13.05
27,1701486000,300.16,303.81,1009.0,89.0,0.0,1.54,0.0,0.0,40.0,0.0,scattered clouds,5.0,2590.18,47.83,24.68,0.0,18.84,112.45,139.65,12.29
28,1701489600,299.16,299.16,1009.0,94.0,0.0,2.06,20.0,0.0,40.0,0.0,scattered clouds,5.0,2243.04,38.0,24.33,0.0,18.12,95.93,117.38,12.03
29,1701493200,299.16,299.16,1010.0,89.0,0.0,1.54,40.0,0.0,0.0,0.0,clear sky,5.0,2056.12,33.08,24.33,0.0,19.55,85.48,103.58,11.78
30,1701496800,299.16,299.16,1010.0,89.0,0.0,0.51,0.0,0.0,20.0,0.0,few clouds,5.0,1949.31,31.29,23.65,0.0,22.41,77.15,95.45,12.16
31,1701500400,299.16,299.16,1010.0,89.0,0.0,2.06,50.0,0.0,40.0,0.0,scattered clouds,5.0,2082.82,36.66,22.62,0.37,29.33,78.65,99.26,14.95
32,1701504000,300.16,303.2,1011.0,83.0,0.0,2.06,60.0,0.0,0.0,0.0,clear sky,5.0,2563.48,55.88,24.33,0.94,46.25,90.99,115.09,18.24
33,1701507600,302.16,306.67,1012.0,74.0,0.0,0.51,0.0,0.0,0.0,0.0,clear sky,5.0,3044.13,78.68,30.16,1.97,66.76,105.89,133.03,21.03
34,1701511200,303.16,308.21,1013.0,70.0,0.0,1.03,0.0,0.0,0.0,0.0,clear sky,5.0,3097.53,87.62,43.87,4.02,89.65,112.17,140.27,23.31
35,1701514800,305.16,309.65,1012.0,58.0,0.0,1.54,0.0,0.0,0.0,0.0,clear sky,5.0,1842.5,50.96,63.75,12.16,99.18,82.26,100.44,14.19
36,1701518400,304.16,307.53,1012.0,58.0,0.0,2.57,130.0,0.0,0.0,0.0,clear sky,5.0,1602.17,31.74,85.68,23.25,105.86,91.69,107.16,11.27
37,1701522000,304.16,307.53,1010.0,58.0,0.0,2.06,110.0,0.0,75.0,0.46,light rain,5.0,1762.39,25.26,106.93,30.4,117.3,113.03,128.92,11.02
38,1701525600,303.16,307.28,1009.0,66.0,0.0,2.57,120.0,0.0,75.0,0.0,very heavy rain,5.0,1602.17,13.52,105.56,34.33,99.18,103.66,116.68,9.37
39,1701529200,303.16,307.28,1009.0,66.0,0.0,3.6,130.0,0.0,75.0,0.23,light rain,5.0,1308.44,6.2,90.48,34.69,76.29,77.65,87.5,8.23
40,1701532800,303.16,308.21,1009.0,70.0,0.0,3.09,130.0,0.0,75.0,0.0,broken clouds,4.0,1094.82,2.74,76.77,32.54,62.94,57.05,64.66,7.47
41,1701536400,303.16,309.22,1009.0,74.0,0.0,2.06,170.0,0.0,40.0,0.0,scattered clouds,4.0,1708.98,7.1,86.37,8.94,62.94,66.36,77.75,12.67
42,1701540000,302.16,308.82,1010.0,84.0,0.0,2.57,180.0,0.0,75.0,0.0,broken clouds,5.0,2857.21,32.19,89.11,0.04,65.8,98.07,117.95,18.24
