Date,Temprature (Kelvin),Feels like (Kelvin),Pressure (mb),Humidity (%),Min Temprature (Kelvin),Max Temprature (Kelvin),Wind speed (m/s),Wind degree,Wind gust (m/s),Clouds all (%),Rain 1h (mm),Weather details
1/6/2024 0:00,299.86,302.74,1010,86,299.86,300.16,1.03,0,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04n"
1/6/2024 1:00,299.86,302.74,1009,86,299.86,300.16,1.34,122,1.79,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
1/6/2024 2:00,299.86,302.9,1009,88,299.86,300.16,1.79,174,2.68,40,0.14,"id: 500, main: Rain, description: light rain, icon: 10n"
1/6/2024 3:00,299.86,302.99,1009,89,299.86,300.16,0.51,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
1/6/2024 4:00,299.86,302.99,1009,89,299.16,299.86,1.03,110,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
1/6/2024 5:00,299.3,299.3,1009,90,299.16,299.3,0.51,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
1/6/2024 6:00,300.41,304.28,1010,87,299.16,300.41,0.51,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
1/6/2024 7:00,302.63,309.01,1010,79,300.16,302.63,1.54,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
1/6/2024 8:00,303.75,310.55,1011,73,302.16,303.75,0.51,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
1/6/2024 9:00,304.3,310.54,1011,68,303.16,304.3,1.79,298,2.68,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
1/6/2024 10:00,304.86,311.06,1011,65,304.16,304.86,2.57,260,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 11:00,307.08,314.08,1010,60,306.16,307.08,3.58,199,4.92,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 12:00,307.08,314.08,1010,58,306.16,307.08,2.57,250,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04d"
1/6/2024 13:00,305.97,312.97,1009,63,305.97,306.16,2.24,221,2.68,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04d"
1/6/2024 14:00,307.08,314.08,1008,59,307.08,307.16,1.54,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 15:00,307.63,314.63,1008,57,307.63,308.16,2.06,0,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04d"
1/6/2024 16:00,308.19,315.19,1008,57,308.16,308.19,3.09,260,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 17:00,305.97,312.97,1008,68,305.97,306.16,4.12,200,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 18:00,304.86,311.86,1008,70,304.86,305.16,3.6,200,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
1/6/2024 19:00,301.52,305.84,1010,78,301.52,302.16,6.69,270,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04n"
1/6/2024 20:00,300.97,305.39,1011,84,300.16,300.97,2.57,300,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04n"
1/6/2024 21:00,302.08,307.49,1011,79,300.16,302.08,0.89,193,1.34,75,0.23,"id: 500, main: Rain, description: light rain, icon: 10n"
1/6/2024 22:00,302.08,307.07,1012,77,300.16,302.08,1.03,0,0,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04n"
1/6/2024 23:00,301.52,306.02,1012,79,301.16,301.52,1.03,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
2/6/2024 0:00,302.08,307.7,1011,80,301.16,302.08,1.03,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
2/6/2024 1:00,301.52,306.37,1011,81,300.16,301.52,1.03,340,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
2/6/2024 2:00,301.52,307.11,1010,85,300.16,301.52,0.51,0,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
2/6/2024 3:00,300.97,305.54,1010,85,300.16,300.97,1.54,60,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
2/6/2024 4:00,300.97,305.7,1010,86,300.16,300.97,0.51,350,0,20,0,"id: 701, main: Mist, description: mist, icon: 50n"
2/6/2024 5:00,300.41,304.39,1010,88,300.16,300.41,1.03,340,0,20,0,"id: 701, main: Mist, description: mist, icon: 50n"
2/6/2024 6:00,300.97,306.01,1011,88,300.16,300.97,1.03,350,0,20,0,"id: 701, main: Mist, description: mist, icon: 50d"
2/6/2024 7:00,300.97,305.85,1011,87,300.16,300.97,1.34,309,1.79,99,0,"id: 804, main: Clouds, description: overcast clouds, icon: 04d"
2/6/2024 8:00,302.08,308.13,1011,82,301.16,302.08,1.79,325,3.13,91,0,"id: 701, main: Mist, description: mist, icon: 50d"
2/6/2024 9:00,303.19,310.19,1012,78,302.16,303.19,2.06,320,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01d"
2/6/2024 10:00,303.75,310.75,1011,75,303.16,303.75,3.6,280,0,0,0,"id: 800, main: Clear, description: clear sky, icon: 01d"
2/6/2024 11:00,305.41,312.41,1011,68,304.16,305.41,3.6,330,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
2/6/2024 12:00,305.41,312.41,1010,67,305.16,305.41,3.6,320,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
2/6/2024 13:00,306.52,313.52,1009,63,306.16,306.52,4.47,311,5.81,75,0,"id: 803, main: Clouds, description: broken clouds, icon: 04d"
2/6/2024 14:00,307.08,314.08,1008,62,306.16,307.08,3.09,330,0,75,0.97,"id: 500, main: Rain, description: light rain, icon: 10d"
2/6/2024 15:00,306.52,313.52,1008,63,306.52,307.16,3.09,300,0,40,0.1,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
2/6/2024 16:00,307.08,314.08,1007,61,307.08,307.16,3.09,320,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
2/6/2024 17:00,307.08,314.08,1007,59,307.08,307.16,3.09,330,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
2/6/2024 18:00,305.97,312.92,1008,62,305.97,306.16,3.13,322,4.02,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
2/6/2024 19:00,305.41,311.82,1009,63,305.16,305.41,1.79,308,3.13,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
2/6/2024 20:00,304.86,310.75,1009,64,304.16,304.86,1.03,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
2/6/2024 21:00,304.86,310.75,1010,64,304.16,304.86,0.89,318,1.34,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
2/6/2024 22:00,304.3,310.54,1010,68,304.16,304.3,2.06,310,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
2/6/2024 23:00,303.75,309.15,1011,68,303.75,304.16,1.54,300,0,20,0.25,"id: 500, main: Rain, description: light rain, icon: 10n"
3/6/2024 0:00,303.75,309.69,1010,70,302.16,303.75,2.06,290,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
3/6/2024 1:00,303.75,309.97,1010,71,303.16,303.75,1.54,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
3/6/2024 2:00,302.63,309.01,1009,79,302.16,302.63,3.09,250,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
3/6/2024 3:00,302.63,309.51,1009,81,301.16,302.63,2.06,270,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
3/6/2024 4:00,302.08,308.57,1009,84,301.16,302.08,1.54,260,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02n"
3/6/2024 5:00,301.52,307.3,1009,86,301.16,301.52,2.06,290,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03n"
3/6/2024 6:00,301.52,307.69,1009,88,301.16,301.52,1.54,300,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
3/6/2024 7:00,302.08,308.35,1009,83,302.08,302.16,1.79,322,2.68,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
3/6/2024 8:00,303.75,310.75,1010,77,303.16,303.75,1.03,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
3/6/2024 9:00,305.41,312.41,1010,68,304.16,305.41,1.03,0,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
3/6/2024 10:00,307.63,314.63,1010,59,306.16,307.63,2.06,260,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 11:00,307.63,314.63,1009,56,307.16,307.63,3.09,300,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 12:00,308.19,315.19,1009,55,308.16,308.19,3.6,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 13:00,308.75,315.75,1009,55,308.16,308.75,5.14,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 14:00,308.75,315.75,1008,54,308.16,308.75,3.6,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 15:00,308.75,315.75,1006,52,308.16,308.75,4.12,300,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 16:00,308.75,315.75,1006,53,308.75,309.16,6.17,280,0,40,0,"id: 802, main: Clouds, description: scattered clouds, icon: 03d"
3/6/2024 17:00,308.19,315.19,1006,54,308.16,308.19,4.12,320,0,20,0,"id: 801, main: Clouds, description: few clouds, icon: 02d"
3/6/2024 18:00,307.63,314.63,1007,56,307.16,307.63,3.6,330,0,20,0.11,"id: 500, main: Rain, description: light rain, icon: 10d"
