date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
01-06-2024 00:00:00,5,3471.37,76.89,35.3,0.0,61.04,144.57,175.78,25.59
01-06-2024 01:00:00,5,3337.86,77.78,34.27,0.0,55.79,140.9,168.16,22.8
01-06-2024 02:00:00,5,3044.13,73.31,31.87,0.0,48.64,133.37,156.68,20.77
01-06-2024 03:00:00,5,2910.61,72.42,29.82,0.0,46.25,132.87,154.32,21.79
01-06-2024 04:00:00,5,3017.43,77.78,30.85,0.0,50.07,144.37,166.76,25.33
01-06-2024 05:00:00,5,3204.35,84.04,32.9,0.0,54.36,153.77,177.8,27.36
01-06-2024 06:00:00,5,3070.83,80.47,31.87,0.0,51.5,143.68,168.18,23.56
01-06-2024 07:00:00,5,2777.1,69.74,30.16,0.16,50.54,122.36,144.55,20.01
01-06-2024 08:00:00,5,2029.42,56.33,31.87,0.47,57.22,82.76,98.23,15.07
01-06-2024 09:00:00,4,1922.61,54.09,32.22,0.78,59.6,73.5,87.84,14.95
01-06-2024 10:00:00,4,1615.52,43.36,32.56,1.31,55.31,60.45,72.36,13.93
01-06-2024 11:00:00,3,934.6,12.63,32.9,2.24,32.9,28.67,34.43,7.85
01-06-2024 12:00:00,2,727.65,3.86,29.82,5.14,26.23,17.64,21.43,6.21
01-06-2024 13:00:00,2,674.25,1.76,26.73,9.12,23.6,13.84,17.19,5.76
01-06-2024 14:00:00,2,741.0,3.74,30.85,9.12,30.99,15.46,19.47,7.22
01-06-2024 15:00:00,2,947.95,8.61,41.13,3.98,45.3,23.52,29.15,9.75
01-06-2024 16:00:00,3,1148.22,11.06,47.3,2.21,49.11,30.77,37.46,10.39
01-06-2024 17:00:00,3,1268.39,12.63,47.3,0.84,45.3,31.57,38.42,9.25
01-06-2024 18:00:00,3,1468.66,23.69,45.93,0.05,53.41,36.37,44.32,10.01
01-06-2024 19:00:00,4,1735.69,39.34,49.35,0.0,68.66,50.47,60.87,12.54
